ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,labPct,conPct,labPct15,conPct15,labChg,conChg,conLabSwing
W07000049,W92000004,Aberavon,West Glamorgan,Wales,Wales,County,09/06/2017 02:41,Lab hold,Lab,Con,49892,33268,57,16761,5901,22662,599,1345,0,0,2761,0,0,0,0,0,0,0,0.681195142,0.17737766,0.489039749,0.118706976,0.192155394,0.058670684,0.066742355
W07000058,W92000004,Aberconwy,Clwyd,Wales,Wales,County,09/06/2017 02:31,Con hold,Con,Lab,45251,32150,78,635,14337,13702,941,0,0,0,3170,0,0,0,0,0,0,0,0.426189736,0.445940902,0.282406793,0.415052408,0.143782942,0.030888494,0.056447224
S14000001,S92000003,Aberdeen North,Scotland,Scotland,Scotland,Borough,09/06/2017 02:26,SNP hold,SNP,Lab,62130,36757,55,4139,8341,11031,1693,0,0,15170,0,0,0,0,0,0,522,0,0.300106102,0.226922763,0.259400036,0.120721049,0.040706066,0.106201714,-0.032747824
S14000002,S92000003,Aberdeen South,Scotland,Scotland,Scotland,Borough,09/06/2017 03:08,Con gain from SNP,Con,SNP,64964,44493,63,4752,18746,9143,2610,0,0,13994,0,0,0,0,0,0,0,0,0.205492999,0.421324703,0.267574303,0.228357809,-0.062081304,0.192966893,-0.127524099
S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,County,09/06/2017 03:10,SNP hold,SNP,Lab,64146,38002,47,195,8813,14096,802,0,0,14291,0,0,0,0,0,0,0,0,0.370927846,0.231908847,0.341146186,0.076525313,0.02978166,0.155383534,-0.062800937
E14000530,E12000008,Aldershot,Hampshire,South East,England,Borough,09/06/2017 02:25,Con hold,Con,Lab,76205,48950,102,11473,26950,15477,3637,1796,1090,0,0,0,0,0,0,0,0,0,0.316179775,0.550561798,0.183325756,0.505921067,0.132854019,0.044640731,0.044106644
E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Borough,09/06/2017 03:16,Con hold,Con,Lab,60363,40235,87,14307,26317,12010,1343,0,0,0,0,0,0,0,0,0,565,0,0.298496334,0.654082267,0.223687875,0.520495227,0.074808459,0.133587039,-0.02938929
E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Borough,09/06/2017 03:56,Con hold,Con,Lab,73226,52790,132,6426,26933,20507,4051,0,1000,0,0,0,0,0,0,0,299,0,0.388463724,0.510191324,0.266860661,0.529940416,0.121603063,-0.019749092,0.070676078
W07000043,W92000004,Alyn and Deeside,Clwyd,Wales,Wales,County,09/06/2017 02:41,Lab hold,Lab,Con,63013,44760,84,5235,18080,23315,1077,1117,0,0,1171,0,0,0,0,0,0,0,0.520889187,0.403932082,0.40034855,0.31943167,0.120540637,0.084500413,0.018020112
E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,County,09/06/2017 02:22,Con hold,Con,Lab,68065,45811,99,8300,25905,17605,1100,0,650,0,0,0,0,0,0,0,551,0,0.384296348,0.565475541,0.347813724,0.439792637,0.036482624,0.125682903,-0.04460014
S14000004,S92000003,Angus,Scotland,Scotland,Scotland,County,09/06/2017 01:52,Con gain from SNP,Con,SNP,63840,40192,65,2645,18148,5233,1308,0,0,15503,0,0,0,0,0,0,0,0,0.13020004,0.451532643,0.088097111,0.289985388,0.042102928,0.161547255,-0.059722163
W07000057,W92000004,Arfon,Gwynedd,Wales,Wales,County,09/06/2017 01:59,PC hold,PC,Lab,41367,28208,67,92,4614,11427,648,0,0,0,11519,0,0,0,0,0,0,0,0.405097845,0.163570618,0.302641875,0.131199463,0.10245597,0.032371155,0.035042407
S14000005,S92000003,Argyll and Bute,Scotland,Scotland,Scotland,County,09/06/2017 04:56,SNP hold,SNP,Con,67230,48069,69,1328,15976,6044,8745,0,0,17304,0,0,0,0,0,0,0,0,0.125735921,0.332355572,0.10396469,0.149046894,0.021771231,0.183308678,-0.080768723
E14000534,E12000008,Arundel and South Downs,West Sussex,South East,England,County,09/06/2017 05:13,Con hold,Con,Lab,79478,60256,154,23883,37573,13690,4783,1668,2542,0,0,0,0,0,0,0,0,0,0.227197292,0.62355616,0.111974786,0.607875772,0.115222505,0.015680388,0.049771059
E14000535,E12000004,Ashfield,Nottinghamshire,East Midlands,England,County,09/06/2017 05:45,Lab hold,Lab,Con,78076,49993,62,441,20844,21285,969,1885,398,0,0,0,0,0,0,0,4612,0,0.425759606,0.416938371,0.410217469,0.224176844,0.015542137,0.192761527,-0.088609695
E14000536,E12000008,Ashford,Kent,South East,England,County,09/06/2017 02:56,Con hold,Con,Lab,87387,59879,135,17478,35318,17840,3101,2218,1402,0,0,0,0,0,0,0,0,0,0.297934167,0.589822809,0.184410514,0.524541588,0.113523653,0.065281221,0.024121216
E14000537,E12000002,Ashton-Under-Lyne,Greater Manchester,North West,England,Borough,09/06/2017 03:58,Lab hold,Lab,Con,67674,39773,81,11295,12710,24005,646,1878,534,0,0,0,0,0,0,0,0,0,0.603550147,0.319563523,0.49761036,0.22123439,0.105939787,0.098329133,0.003805327
E14000538,E12000008,Aylesbury,Buckinghamshire,South East,England,County,09/06/2017 04:08,Con hold,Con,Lab,82546,58783,122,14656,32313,17657,5660,1296,1237,0,0,0,0,0,0,0,620,0,0.300375959,0.549699743,0.151410166,0.506739566,0.148965793,0.042960177,0.053002808
S14000006,S92000003,"Ayr, Carrick and Cumnock",Scotland,Scotland,Scotland,County,09/06/2017 03:08,Con gain from SNP,Con,SNP,71241,46222,74,2774,18550,11024,872,0,0,15776,0,0,0,0,0,0,0,0,0.238501147,0.401324045,0.27250091,0.198337451,-0.033999763,0.202986593,-0.118493178
E14000539,E12000008,Banbury,Oxfordshire,South East,England,County,09/06/2017 04:13,Con hold,Con,Lab,83824,61562,115,12399,33388,20989,3452,1581,1225,0,0,0,0,0,0,0,927,0,0.34094084,0.542347552,0.212970625,0.530082058,0.127970215,0.012265494,0.05785236
S14000007,S92000003,Banff and Buchan,Scotland,Scotland,Scotland,County,09/06/2017 04:38,Con gain from SNP,Con,SNP,67601,41643,46,3693,19976,3936,1448,0,0,16283,0,0,0,0,0,0,0,0,0.094517686,0.479696468,0.058011352,0.28815008,0.036506334,0.191546388,-0.077520027
E14000540,E12000007,Barking,London,London,England,Borough,09/06/2017 03:31,Lab hold,Lab,Con,77022,47679,103,21608,10711,32319,599,3031,724,0,0,0,0,0,0,0,295,0,0.677845592,0.224648168,0.576798866,0.163077066,0.101046726,0.061571102,0.019737812
E14000541,E12000003,Barnsley Central,South Yorkshire,Yorkshire and The Humber,England,Borough,09/06/2017 02:34,Lab hold,Lab,Con,64204,39087,66,15546,9436,24982,549,3339,570,0,0,0,0,0,0,0,211,0,0.639138332,0.241410188,0.557330416,0.150027352,0.081807917,0.091382835,-0.004787459
